time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5020.070547	156.327011	1.379987	-0.066183	65
5022.135518	156.011093	1.329940	-0.100000	67
5024.201901	134.529465	1.257323	-0.100000	69
5026.269646	156.387009	1.278191	-0.074569	71
5028.336042	156.185806	1.251179	-0.075320	73
5030.399398	144.686264	1.220242	-0.100000	75
5032.460385	142.540543	1.213319	-0.100000	77
5034.523850	156.486359	1.173465	-0.078305	79
5036.590914	149.257172	1.212624	-0.100000	81
5038.659148	156.186356	1.106336	-0.080003	83
5040.726498	156.250320	1.056415	-0.100000	85
5042.791967	156.270523	1.030615	-0.100000	87
5044.856649	156.033051	1.004524	-0.100000	89
5046.921334	156.568909	0.996822	-0.079561	91
5048.985317	335.609802	-0.951929	0.100000	93
5051.048537	328.615387	-0.866963	0.100000	95
5053.109461	335.660797	-0.927436	0.079323	97
5055.171238	335.087463	-0.902349	0.078050	99
5057.235331	336.293549	-0.808569	0.100000	101
5059.303020	333.647919	-0.788839	0.100000	103
5061.372442	336.312592	-0.821918	0.075529	105
5063.438974	336.450287	-0.799507	0.075901	107
5065.503788	336.180603	-0.778226	0.075689	109
5067.567882	326.559875	-0.659994	0.100000	111
