time (s)	magX	magY	magZ
4154.703339	458.967255	-169.805969	507.468719
4154.706697	461.947968	-169.338394	516.235535
4154.710012	463.642883	-168.987732	525.528381
4154.713346	465.162476	-169.747513	534.645874
4154.716648	467.091187	-169.046173	544.756897
4154.719565	468.727631	-169.221512	553.289917
4154.722895	470.890137	-168.637054	562.348938
4154.726226	472.175934	-168.578613	573.044434
4154.729556	474.455292	-167.935715	583.389221
4154.732914	476.033295	-167.585037	593.324951
4154.736228	477.669769	-166.357697	604.429626
4154.739557	478.604889	-166.416122	615.183533
4154.742893	479.890717	-165.188782	625.762146
4154.746223	480.884247	-164.253662	636.399170
4154.749562	481.760986	-163.318527	647.094666
4154.752891	483.163635	-162.441849	658.257812
4154.756228	484.040314	-160.980713	670.180603
4154.759559	485.150818	-159.928696	682.629517
4154.762892	485.443024	-158.759796	693.383423
4154.766219	485.384552	-157.006424	705.598511
4154.769551	485.501465	-155.720627	717.346008
4154.772894	485.326141	-154.376389	728.392212
4154.776256	486.494995	-152.564575	740.081299
4154.779556	485.209229	-150.869675	753.348389
4154.782887	484.975433	-148.940979	764.979004
4154.786222	484.215637	-146.895386	776.375854
4154.789556	483.864960	-144.849792	789.175354
4154.792891	482.111633	-142.804214	803.026917
4154.796221	480.942719	-140.817062	814.891296
4154.799553	478.838684	-138.187027	827.047974
4154.802888	477.026886	-136.024551	840.724182
4154.806220	475.507294	-133.452957	852.939270
4154.809550	472.760376	-131.115128	865.797180
4154.812886	470.130341	-128.485107	877.778503
4154.816223	467.032715	-125.971939	891.571594
4154.819581	463.233795	-123.049683	903.260681
4154.822886	460.779083	-120.127411	916.820007
4154.826214	456.863251	-117.555817	928.216919
4154.829555	453.064301	-113.230865	940.724182
4154.832877	448.914673	-109.607254	953.699097
4154.836218	443.771454	-106.918762	965.680359
4154.839550	438.686737	-103.353592	977.720032
4154.842878	433.835785	-99.613091	990.052002
4154.846217	427.815918	-96.106369	1000.513794
4154.850880	417.061951	-87.807129	1024.417969
4154.853824	410.282288	-83.423729	1035.522461
4154.857073	404.145508	-78.981880	1045.341309
4154.860425	397.190521	-74.014023	1056.387451
4154.863793	390.410858	-69.279961	1068.018066
4154.867165	382.754547	-63.786087	1078.187622
4154.870479	374.689056	-59.285805	1088.240112
4154.873778	366.331390	-53.558151	1098.058960
4154.877057	358.382812	-48.005844	1107.176514
4154.879966	349.732880	-42.628868	1114.657471
4154.883307	341.492096	-36.199883	1123.599609
4154.886633	331.790192	-30.706018	1131.489746
4154.889975	322.614258	-24.218584	1140.081177
4154.893306	311.860321	-17.672707	1146.977661
4154.896652	301.457031	-11.886616	1153.172974
4154.899989	291.988892	-5.106955	1159.660400
4154.903320	281.760956	0.912916	1166.440063
4154.906267	271.182343	8.627703	1171.817017
4154.909547	260.545288	15.232029	1176.901855
4154.912881	249.382233	21.836353	1181.226685
4154.916210	237.926941	28.440678	1185.551636
4154.919538	226.588531	34.928112	1190.636475
4154.922877	215.016357	41.766220	1193.208008
4154.926209	203.736420	48.428993	1195.195190
4154.929537	190.995331	54.974869	1200.455322
4154.932870	178.955566	62.105202	1200.221436
4154.936209	166.915833	68.884865	1202.150146
4154.939541	154.525421	75.313850	1203.377563
4154.942874	142.251892	82.093513	1203.494507
4154.946209	129.744598	88.580948	1202.793091
4154.949569	116.945061	95.009933	1202.793091
4154.952876	104.496208	101.789597	1202.442383
4154.956207	92.398010	107.809464	1201.039673
4154.959535	79.189362	114.413788	1198.585083
4154.962867	66.740509	120.141441	1197.240723
4154.966201	53.940971	127.388664	1193.967773
4154.969538	41.550556	132.882538	1190.694946
4154.972870	29.101696	140.071304	1187.012817
4154.976209	15.367039	145.214493	1181.694336
4154.979543	2.684397	151.351257	1179.590210
4154.982870	-9.121565	157.312683	1174.096436
4154.986201	-21.161308	162.397430	1168.777832
4154.989534	-33.201050	168.241959	1162.056641
4154.992887	-45.591469	174.495621	1156.621216
4154.996198	-57.222092	180.340149	1149.783081
4154.999534	-69.028053	186.710693	1143.412598
4155.002873	-80.600235	191.561661	1134.996460
4155.006198	-91.821739	197.347748	1128.216797
4155.009531	-103.043243	202.374054	1119.976074
4155.012861	-114.264748	207.575699	1110.858521
4155.016201	-124.901802	212.835754	1101.974854
4155.019531	-135.305084	217.336060	1094.260010
4155.022864	-146.117462	223.005264	1084.967285
4155.026194	-156.053192	227.797791	1075.674438
4155.029529	-165.638214	232.356522	1065.738647
4155.032861	-175.281708	236.681473	1055.919922
4155.037139	-193.750427	244.746948	1034.061401
4155.040453	-202.926361	249.071884	1025.411499
4155.043717	-211.167145	252.753937	1014.014587
4155.047047	-220.343079	256.319122	1003.026917
4155.050372	-227.707184	260.001190	992.798950
4155.053738	-235.305115	263.507874	981.285278
4155.057066	-243.545898	266.079498	971.174194
4155.060459	-251.377563	268.709534	959.485107
4155.063806	-258.157227	270.696655	949.023376
4155.066648	-265.170685	274.320282	936.632996
4155.069947	-271.716553	276.541199	924.710144
4155.073307	-278.963776	278.995911	914.657532
4155.076617	-285.509644	281.041504	903.962036
4155.079985	-291.003510	282.210388	892.273010
4155.083286	-296.848053	283.905304	881.168335
4155.086614	-302.926361	285.307983	869.946838
4155.089522	-308.186432	286.652252	858.959045
4155.092861	-312.569855	288.054932	848.205139
4155.096189	-317.829926	289.691406	836.340759
4155.099528	-322.973114	289.808289	825.995911
4155.102853	-327.181183	290.977203	814.306885
4155.106195	-331.038574	291.386322	803.669800
4155.109579	-335.480438	291.678528	792.623657
4155.112863	-340.506714	292.263000	782.454102
4155.116193	-343.662781	292.379883	770.589722
4155.119524	-346.701935	292.438324	760.712524
4155.122889	-350.383972	292.263000	750.192322
4155.126186	-353.540039	292.672119	740.782593
4155.129541	-356.462311	292.321442	728.567505
4155.132856	-358.741669	292.730560	719.742249
4155.136191	-361.079498	292.555237	708.520752
4155.139517	-363.534210	292.964355	698.760376
4155.142854	-365.404449	291.912323	688.824646
4155.146186	-368.151398	291.327881	679.356567
4155.149513	-369.144958	291.678528	669.654602
4155.152846	-370.547638	291.327881	659.777344
4155.156184	-372.827026	290.509644	650.367676
4155.159519	-373.762146	289.632965	640.607300
4155.162848	-375.223267	289.632965	631.372925
4155.166213	-376.684418	289.340729	622.956787
4155.169512	-376.976624	288.873169	612.787292
4155.172850	-376.392181	287.645813	604.429626
4155.176185	-378.379303	286.476929	595.370605
4155.179573	-378.496216	285.892456	586.019287
4155.182873	-378.554657	285.307983	576.609619
4155.186184	-379.782013	284.489777	569.537720
4155.189511	-379.840424	284.022217	560.654053
4155.192851	-379.372894	282.327301	552.997681
4155.196177	-379.080688	281.333740	544.581604
4155.199515	-380.424896	280.281708	535.931641
4155.202848	-380.191132	279.171234	529.794922
4155.206184	-380.074219	277.943878	522.430786
4155.209544	-380.191132	276.950317	513.780823
4155.212848	-379.489777	275.898315	507.351868
4155.216188	-379.957336	273.560486	500.864410
4155.219511	-379.256012	272.216248	493.500305
4155.224189	-377.853302	269.586212	478.479858
4155.227101	-376.976624	268.183502	472.167725
4155.230460	-377.502625	266.371735	466.849213
4155.233795	-377.385742	265.027466	459.952667
4155.237021	-375.106354	264.150787	455.043243
4155.240372	-376.450623	262.397430	448.088257
4155.243679	-375.223267	260.702515	442.886627
4155.247051	-374.054382	259.299835	436.574493
4155.250390	-373.119232	257.721802	431.314453
4155.253344	-372.827026	255.968445	425.528320
4155.256627	-372.710114	254.507294	421.261810
4155.259973	-371.132080	253.922867	415.592651
4155.263262	-371.015198	252.637039	409.806519
4155.266594	-369.144958	250.883698	404.195770
4155.269934	-368.209808	250.182343	400.279968
4155.273271	-368.385162	248.604309	396.364105
4155.276173	-366.748688	247.201630	391.571594
4155.279508	-366.222687	245.974274	386.311523
4155.282842	-366.573364	244.746948	381.928131
4155.286167	-364.469330	244.104019	378.421387
4155.289502	-363.884857	242.876694	373.921082
4155.292839	-362.365295	241.357101	369.771454
4155.296170	-361.722382	240.421982	365.504974
4155.299505	-360.611938	239.253067	362.290466
4155.302837	-359.735260	238.376404	357.614838
