time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5775.382233	336.708649	1.616491	0.005295	173
5777.451690	336.494659	1.536284	-0.000562	175
5779.521755	336.262268	1.459785	-0.004120	177
5781.590708	336.306366	1.384113	-0.006312	179
5783.658216	336.373627	1.307814	-0.008517	181
5785.724789	336.478424	1.233505	-0.009737	183
5787.790338	336.438507	1.164017	-0.011058	185
5789.854527	336.117249	1.093387	-0.011985	187
5791.919367	335.849457	1.020215	-0.011566	189
5793.987059	155.964813	-0.953610	0.011110	191
5796.056900	156.356140	-0.894146	0.011143	193
5798.125966	156.536697	-0.837622	0.011520	195
5800.192552	156.566849	-0.782792	0.011707	197
5802.257882	156.465378	-0.730817	0.010867	199
5804.322237	156.469360	-0.680881	0.010634	201
5806.387863	156.418701	-0.632815	0.009843	203
5808.454357	156.290634	-0.588160	0.009379	205
5810.521066	156.134949	-0.546779	0.008730	207
5812.587227	155.997055	-0.508839	0.008160	209
5814.651886	155.928391	-0.474399	0.007157	211
5816.711355	156.173874	-0.440854	0.006565	213
