time (s)	det(V)
5776.406840	1.618525	
5776.408336	1.618513	
5776.410066	1.618529	
5776.411585	1.618638	
5776.413313	1.618541	
5776.414851	1.618445	
5776.416372	1.618440	
5776.417966	1.618408	
5776.419461	1.618525	
5776.421081	1.618465	
5776.422597	1.618489	
5776.424231	1.618384	
5776.425707	1.618481	
5776.427351	1.511267	
5776.428826	1.181315	
5776.430447	0.898604	
5776.431931	0.638950	
5776.433552	0.368352	
5776.435075	0.092851	
5776.436632	-0.174025	
5776.438169	-0.456269	
5776.439669	-0.735746	
5776.441281	-1.021934	
5776.442843	-1.304585	
5776.444458	-1.583780	
5776.445992	-1.639560	
5776.447671	-1.639754	
5776.449144	-1.639645	
5776.450844	-1.639665	
5776.452335	-1.639645	
5776.454040	-1.639653	
5776.455522	-1.639625	
5776.457239	-1.639669	
5776.458722	-1.639685	
5776.460431	-1.639657	
5776.461907	-1.639762	
5776.463609	-1.639629	
5776.465093	-1.639697	
5776.466826	-1.639637	
5776.468336	-1.639737	
5776.470070	-1.639665	
5776.471597	-1.639713	
5776.473324	-1.639742	
5776.474853	-1.639798	
5776.476549	-1.639754	
5776.478089	-1.639790	
5776.479789	-1.639770	
5776.481352	-1.639842	
5776.483026	-1.639782	
5776.484593	-1.639871	
5776.486235	-1.639685	
5776.487838	-1.639947	
5776.489481	-1.639721	
5776.491083	-1.639947	
5776.492719	-1.639693	
5776.494329	-1.639915	
5776.495918	-1.639830	
5776.497588	-1.639919	
5776.499154	-1.639818	
5776.500831	-1.640019	
5776.502378	-1.639858	
5776.504069	-1.639979	
5776.505628	-1.639866	
5776.507333	-1.639975	
5776.508888	-1.639874	
5776.510622	-1.639975	
5776.512126	-1.639883	
5776.513870	-1.639987	
5776.515359	-1.639943	
5776.517118	-1.639891	
5776.518600	-1.639991	
5776.520375	-1.639911	
5776.521865	-1.639899	
5776.523661	-1.639879	
5776.525135	-1.639798	
5776.526905	-1.639846	
5776.528397	-1.639903	
5776.530150	-1.639754	
5776.531657	-1.639887	
5776.533384	-1.639806	
5776.534902	-1.639850	
5776.536634	-1.639729	
5776.538177	-1.639838	
5776.539892	-1.639681	
5776.541441	-1.639883	
5776.543116	-1.639665	
5776.544671	-1.639842	
5776.546355	-1.639717	
5776.547927	-1.639774	
5776.549562	-1.639713	
5776.551154	-1.639834	
5776.552779	-1.639661	
5776.554389	-1.639786	
5776.556017	-1.639685	
5776.557659	-1.639782	
5776.559262	-1.639693	
5776.560936	-1.639758	
5776.562524	-1.639645	
5776.564208	-1.639750	
5776.565781	-1.639584	
5776.567480	-1.639737	
5776.569064	-1.639597	
5776.570723	-1.639721	
5776.572283	-1.639637	
5776.573997	-1.639657	
5776.575537	-1.639685	
5776.577262	-1.639677	
5776.578763	-1.639572	
5776.580520	-1.639576	
5776.581999	-1.639641	
5776.583770	-1.639601	
5776.585251	-1.639568	
5776.587036	-1.639536	
5776.588520	-1.639693	
5776.590311	-1.639617	
5776.591814	-1.639709	
5776.593311	-1.639665	
5776.594865	-1.639657	
5776.596401	-1.639653	
5776.598019	-1.639725	
5776.599502	-1.639665	
5776.601130	-1.639681	
5776.602655	-1.639641	
5776.604309	-1.639649	
5776.605794	-1.639729	
5776.607444	-1.639645	
5776.608917	-1.639685	
5776.610564	-1.639669	
5776.612036	-1.639653	
5776.613672	-1.639596	
5776.615157	-1.639653	
5776.616758	-1.639637	
5776.618291	-1.639560	
5776.619847	-1.610383	
5776.621429	-1.512866	
5776.623024	-1.456743	
5776.624614	-1.392137	
5776.626168	-1.326781	
5776.627774	-1.272024	
5776.629299	-1.223898	
5776.631000	-1.153354	
5776.632481	-1.095141	
5776.634173	-1.040259	
5776.635659	-0.984547	
5776.637352	-0.927945	
5776.638838	-0.891961	
5776.640558	-0.851017	
5776.642044	-0.805255	
5776.643814	-0.765918	
5776.645291	-0.733357	
5776.647073	-0.683845	
5776.648560	-0.640138	
5776.650314	-0.608850	
5776.651784	-0.575181	
5776.653574	-0.529379	
5776.655070	-0.504259	
5776.656822	-0.486063	
5776.658317	-0.460463	
5776.660060	-0.436087	
5776.661574	-0.424538	
5776.663289	-0.398588	
5776.664816	-0.370305	
5776.666509	-0.346969	
5776.668060	-0.324938	
5776.669758	-0.300909	
5776.671317	-0.283189	
5776.673005	-0.276542	
5776.674572	-0.263119	
5776.676226	-0.248706	
5776.677816	-0.239961	
5776.679457	-0.233274	
5776.681077	-0.203960	
5776.682701	-0.190960	
5776.684338	-0.185534	
5776.685949	-0.169477	
5776.687579	-0.156083	
5776.689174	-0.156816	
5776.690850	-0.147358	
5776.692424	-0.138838	
5776.694120	-0.136884	
5776.695675	-0.131232	
5776.697372	-0.121093	
5776.698925	-0.110708	
5776.700613	-0.101334	
5776.702152	-0.094232	
5776.703870	-0.080919	
5776.705368	-0.083988	
5776.707145	-0.086840	
5776.708628	-0.078248	
5776.710419	-0.079142	
5776.711897	-0.081998	
5776.713673	-0.072302	
5776.715156	-0.062271	
5776.716937	-0.062509	
5776.718426	-0.056056	
5776.720199	-0.048519	
5776.721687	-0.046710	
5776.723449	-0.053413	
5776.724945	-0.047931	
5776.726669	-0.047484	
5776.728194	-0.053377	
5776.729897	-0.051919	
5776.731430	-0.040220	
5776.733119	-0.038416	
5776.734681	-0.036232	
5776.736358	-0.022564	
5776.737932	-0.019789	
5776.739607	-0.027213	
5776.741181	-0.028897	
5776.742835	-0.027439	
5776.744441	-0.030432	
5776.746064	-0.030597	
5776.747694	-0.017541	
5776.749318	-0.012316	
5776.750941	-0.015418	
5776.752532	-0.006209	
5776.754182	0.003551	
5776.755771	-0.004888	
5776.757458	-0.008030	
5776.759001	-0.001093	
5776.760712	-0.005569	
5776.762252	-0.011088	
5776.763970	-0.002197	
5776.765505	0.009497	
5776.767224	0.009545	
5776.768722	0.019318	
5776.770290	0.031645	
5776.771799	0.019943	
5776.773392	0.024535	
5776.774932	0.024104	
5776.776494	0.016917	
5776.778087	0.018206	
5776.779579	0.015681	
5776.781233	0.034428	
5776.782720	0.029147	
5776.784346	0.033143	
5776.785868	0.044108	
5776.787502	0.053881	
5776.788989	0.041945	
5776.790640	0.034634	
5776.792124	0.045373	
5776.793754	0.037458	
5776.795240	0.029840	
5776.796867	0.034634	
5776.798357	0.041035	
5776.800005	0.042666	
5776.801528	0.045176	
5776.803149	0.053736	
5776.804715	0.051315	
5776.806307	0.044008	
5776.807910	0.047287	
5776.809473	0.048552	
5776.811091	0.037357	
5776.812630	0.026903	
5776.814305	0.048685	
5776.815780	0.053148	
5776.817482	0.048535	
5776.818959	0.049494	
5776.820689	0.054598	
5776.822246	0.049575	
5776.823955	0.048987	
5776.825504	0.045373	
5776.827229	0.031512	
5776.828731	0.028245	
5776.830490	0.046936	
5776.831964	0.040302	
5776.833754	0.044036	
5776.835246	0.045816	
5776.837027	0.053337	
5776.838501	0.049325	
5776.840282	0.041276	
5776.841760	0.039568	
5776.843515	0.031121	
5776.845011	0.018085	
5776.846742	0.027919	
5776.848258	0.037168	
5776.849999	0.036954	
5776.851526	0.038642	
5776.853249	0.047101	
5776.854786	0.039867	
5776.856507	0.026726	
5776.858048	0.031834	
5776.859734	0.029739	
5776.861292	0.027439	
5776.862979	0.015233	
5776.864563	0.026001	
5776.866227	0.025429	
5776.867812	0.021465	
5776.869464	0.029240	
5776.871052	0.030622	
5776.872680	0.019262	
5776.874317	0.013505	
5776.875917	0.016007	
5776.877576	0.013123	
5776.879134	0.005118	
5776.880833	0.015874	
5776.882419	0.016345	
5776.884087	0.015838	
5776.885643	0.026130	
5776.887328	0.027379	
5776.888869	0.013276	
5776.890575	0.012865	
5776.892089	0.002750	
5776.893818	-0.003309	
5776.895295	-0.006379	
5776.897052	0.001207	
5776.898536	0.005735	
5776.900299	0.004583	
5776.901787	0.006556	
5776.903571	0.018118	
5776.905053	0.017082	
5776.906807	0.008567	
5776.908313	-0.000219	
5776.910037	0.004039	
5776.911553	-0.004393	
5776.913266	-0.002415	
5776.914801	0.005062	
5776.916524	0.007088	
5776.918069	0.003753	
5776.919760	0.014428	
5776.921315	0.013687	
5776.923003	0.004083	
5776.924570	0.002226	
5776.926240	0.002995	
5776.927828	-0.003905	
5776.929441	-0.005609	
5776.931049	0.005743	
5776.932666	0.008325	
5776.934298	0.004377	
5776.935892	0.011713	
5776.937555	0.019238	
5776.939154	0.010271	
5776.940832	0.003483	
5776.942392	0.001187	
5776.944072	-0.003027	
5776.945607	-0.009919	
5776.947299	-0.000344	
5776.948781	0.007592	
5776.950344	0.004208	
5776.951842	0.007406	
5776.953438	0.011866	
5776.954970	0.013252	
5776.956526	-0.002032	
5776.958065	0.003265	
5776.959556	-0.000900	
5776.961214	-0.006826	
5776.962696	-0.007700	
5776.964321	0.002959	
5776.965839	0.001219	
5776.967466	-0.000086	
5776.968941	0.006206	
5776.970569	0.008474	
5776.972049	0.000989	
5776.973684	-0.007692	
5776.975183	-0.015748	
5776.976894	-0.010959	
5776.978389	-0.015140	
5776.980057	-0.012208	
5776.981564	-0.005641	
5776.983197	-0.005661	
5776.984736	-0.007680	
5776.986338	0.000413	
5776.987907	-0.002483	
5776.989482	-0.011555	
5776.991093	-0.012530	
5776.992629	-0.016377	
5776.994302	-0.022762	
5776.995787	-0.026089	
5776.997503	-0.023475	
5776.999076	-0.014971	
5777.000768	-0.019374	
5777.002343	-0.015382	
5777.004032	-0.012610	
5777.005591	-0.022621	
5777.007291	-0.025553	
5777.008835	-0.027688	
5777.010555	-0.038537	
5777.012052	-0.038802	
5777.013807	-0.033920	
5777.015287	-0.030536	
5777.017073	-0.033542	
5777.018564	-0.032027	
5777.020353	-0.015350	
5777.021828	-0.030222	
5777.023614	-0.036776	
5777.025088	-0.035100	
5777.026842	-0.042581	
5777.028331	-0.052640	
5777.030082	-0.050900	
5777.031599	-0.038960	
5777.033330	-0.040740	
5777.034854	-0.045308	
5777.036582	-0.031491	
5777.038120	-0.033022	
5777.039829	-0.042988	
5777.041374	-0.042492	
5777.043060	-0.043056	
5777.044613	-0.051343	
5777.046268	-0.050392	
5777.047856	-0.048370	
5777.049499	-0.046231	
5777.051104	-0.040796	
5777.052744	-0.035672	
5777.054341	-0.031028	
5777.055968	-0.045933	
5777.057615	-0.042424	
5777.059194	-0.041920	
5777.060868	-0.052982	
5777.062447	-0.055871	
5777.064130	-0.047624	
5777.065713	-0.042823	
5777.067396	-0.042094	
5777.068954	-0.043173	
5777.070652	-0.030613	
5777.072205	-0.038444	
5777.073925	-0.041348	
5777.075452	-0.040301	
5777.077164	-0.045896	
5777.078651	-0.053264	
5777.080415	-0.045554	
5777.081896	-0.038275	
5777.083683	-0.037393	
5777.085179	-0.036470	
5777.086959	-0.023841	
5777.088446	-0.025650	
5777.090213	-0.035749	
