time (s)	det(V)
3697.752072	1.618481	
3697.753650	1.618481	
3697.755350	1.617723	
3697.756907	1.442822	
3697.758632	1.158346	
3697.760201	0.945477	
3697.761884	0.697514	
3697.763424	0.462405	
3697.765144	0.220388	
3697.766664	-0.005895	
3697.768427	-0.268409	
3697.769901	-0.494986	
3697.771681	-0.740431	
3697.773165	-0.977691	
3697.774933	-1.225252	
3697.776423	-1.441951	
3697.778201	-1.623286	
3697.779690	-1.639697	
3697.781458	-1.639641	
3697.782955	-1.639673	
3697.784708	-1.639609	
3697.786215	-1.639637	
3697.787940	-1.639629	
3697.789474	-1.639697	
3697.791204	-1.639645	
3697.792732	-1.639697	
3697.794436	-1.639584	
3697.796005	-1.639746	
3697.797693	-1.639633	
3697.799246	-1.639721	
3697.800934	-1.639532	
3697.802513	-1.639681	
3697.804172	-1.639609	
3697.805764	-1.639798	
3697.807398	-1.639641	
3697.809010	-1.639746	
3697.810654	-1.639572	
3697.812258	-1.639725	
3697.813881	-1.639572	
3697.815528	-1.639782	
3697.817123	-1.639673	
3697.818804	-1.639810	
3697.820377	-1.639625	
3697.822060	-1.639770	
3697.823624	-1.639729	
3697.825308	-1.639774	
3697.826861	-1.639665	
3697.828555	-1.639790	
3697.830112	-1.639725	
3697.831824	-1.639738	
3697.833335	-1.639754	
3697.835092	-1.639754	
3697.836570	-1.639794	
3697.838353	-1.639806	
3697.839837	-1.639818	
3697.841613	-1.639774	
3697.843099	-1.639778	
3697.844887	-1.639786	
3697.846364	-1.639717	
3697.848136	-1.639838	
3697.849631	-1.639754	
3697.851386	-1.639701	
3697.852891	-1.639722	
3697.854626	-1.639673	
3697.856147	-1.639766	
3697.857867	-1.639733	
3697.859405	-1.639742	
3697.861113	-1.639693	
3697.862667	-1.639734	
3697.864366	-1.639734	
3697.865949	-1.639830	
3697.867440	-1.639685	
3697.869098	-1.639778	
3697.870596	-1.639701	
3697.872259	-1.639766	
3697.873758	-1.639778	
3697.875388	-1.639818	
3697.876864	-1.639717	
3697.878515	-1.639729	
3697.879989	-1.639830	
3697.881625	-1.639697	
3697.883110	-1.639665	
3697.884725	-1.639637	
3697.886246	-1.639770	
3697.887814	-1.639637	
3697.889364	-1.639689	
3697.890857	-1.639665	
3697.892489	-1.639737	
3697.894050	-1.639669	
3697.895670	-1.639653	
3697.897208	-1.639625	
3697.898875	-1.639705	
3697.900356	-1.639673	
3697.902070	-1.639754	
3697.903552	-1.639669	
3697.905272	-1.639689	
3697.906752	-1.639709	
3697.908486	-1.639701	
3697.909975	-1.639645	
3697.911674	-1.639596	
3697.913156	-1.639697	
3697.914877	-1.639568	
3697.916358	-1.639661	
3697.918117	-1.639621	
3697.919615	-1.639657	
3697.921366	-1.639665	
3697.922889	-1.639733	
3697.924632	-1.639701	
3697.926147	-1.639621	
3697.927870	-1.639645	
3697.929402	-1.639689	
3697.931118	-1.639576	
3697.932673	-1.639669	
3697.934371	-1.639609	
3697.935945	-1.639701	
3697.937629	-1.639556	
3697.939196	-1.639733	
3697.940855	-1.639504	
3697.942446	-1.633941	
3697.944114	-1.545757	
3697.945704	-1.493514	
3697.947341	-1.436827	
3697.948964	-1.378207	
3697.950579	-1.325243	
3697.952227	-1.293592	
3697.953829	-1.249740	
3697.955481	-1.208748	
3697.957090	-1.172867	
3697.958774	-1.136379	
3697.960353	-1.086355	
3697.962032	-1.037576	
3697.963599	-1.001132	
3697.965291	-0.949336	
3697.966851	-0.912106	
3697.968547	-0.881072	
3697.970106	-0.854090	
3697.971828	-0.816023	
3697.973345	-0.792888	
3697.975083	-0.761411	
3697.976567	-0.720624	
3697.978357	-0.687145	
3697.979844	-0.653423	
3697.981612	-0.617906	
3697.983101	-0.587919	
3697.984875	-0.562544	
3697.986369	-0.549199	
3697.988171	-0.522829	
3697.989657	-0.498809	
3697.991429	-0.480439	
3697.992922	-0.453458	
3697.994673	-0.426887	
3697.996181	-0.406068	
3697.997905	-0.381371	
3697.999439	-0.357181	
3698.001163	-0.342381	
3698.002706	-0.332068	
3698.004417	-0.315153	
3698.005957	-0.301324	
3698.007646	-0.293517	
3698.009198	-0.282190	
3698.010883	-0.250894	
3698.012470	-0.239961	
3698.014154	-0.223646	
3698.015744	-0.205954	
3698.017390	-0.190271	
3698.018976	-0.196362	
3698.020611	-0.183745	
3698.022241	-0.178694	
3698.023846	-0.169227	
3698.025512	-0.166827	
3698.027108	-0.145831	
3698.028792	-0.130870	
3698.030393	-0.126874	
3698.032055	-0.111896	
3698.033644	-0.100992	
3698.035351	-0.101386	
3698.036908	-0.099183	
3698.038609	-0.096311	
3698.040082	-0.098889	
3698.041650	-0.094107	
3698.043142	-0.081486	
3698.044672	-0.075372	
3698.046205	-0.070179	
3698.047772	-0.062831	
3698.049336	-0.053417	
3698.050842	-0.051182	
3698.052519	-0.057901	
3698.053996	-0.057135	
3698.055630	-0.055532	
3698.057145	-0.063287	
3698.058788	-0.060958	
3698.060267	-0.049461	
3698.061918	-0.039443	
3698.063391	-0.045401	
3698.065041	-0.034891	
3698.066515	-0.023366	
3698.068164	-0.032663	
3698.069665	-0.040043	
3698.071348	-0.042629	
3698.072871	-0.041860	
3698.074527	-0.047592	
3698.076069	-0.044950	
3698.077718	-0.033155	
3698.079281	-0.033086	
3698.080888	-0.033707	
3698.082469	-0.024188	
3698.084042	-0.014830	
3698.085656	-0.027398	
3698.087203	-0.027245	
3698.088879	-0.029211	
3698.090460	-0.038307	
3698.092131	-0.039334	
3698.093726	-0.025364	
3698.095416	-0.022967	
3698.097018	-0.026625	
3698.098696	-0.014838	
3698.100262	-0.005234	
3698.101957	-0.018596	
3698.103502	-0.017493	
3698.105218	-0.017972	
3698.106754	-0.022999	
3698.108465	-0.027612	
3698.109982	-0.016159	
3698.111699	-0.006644	
3698.113199	-0.007035	
3698.114976	-0.000485	
3698.116457	0.004446	
3698.118229	0.006419	
3698.119712	-0.002254	
3698.121484	-0.000711	
3698.122972	-0.002386	
3698.124708	-0.006761	
3698.126211	-0.004111	
3698.127939	0.006975	
3698.129470	0.005336	
3698.131197	0.012482	
3698.132725	0.018823	
3698.134439	0.030062	
3698.135977	0.017413	
3698.137668	0.018001	
3698.139225	0.019834	
3698.140913	0.007451	
3698.142487	0.004143	
3698.144157	0.018331	
3698.145749	0.023697	
3698.147402	0.029248	
3698.149008	0.035597	
3698.150624	0.040459	
3698.152241	0.031443	
3698.153870	0.023785	
3698.155543	0.028205	
3698.157121	0.026609	
3698.158782	0.014673	
3698.160391	0.025344	
3698.162042	0.035335	
3698.163633	0.037421	
3698.165334	0.046070	
3698.166896	0.041180	
3698.168610	0.023326	
3698.170168	0.026585	
3698.171871	0.033880	
3698.173441	0.028696	
3698.175143	0.026094	
3698.176689	0.022517	
3698.178422	0.038106	
3698.179910	0.024732	
3698.181658	0.038283	
3698.183144	0.040676	
3698.184917	0.038312	
3698.186401	0.024063	
3698.188163	0.027729	
3698.189648	0.026215	
3698.191405	0.014440	
3698.192909	0.022758	
3698.194657	0.032285	
3698.196176	0.023524	
3698.197901	0.030195	
3698.199422	0.031955	
3698.201123	0.031500	
3698.202662	0.024829	
3698.204349	0.021820	
3698.205908	0.014206	
3698.207588	0.006581	
3698.209167	0.007515	
3698.210827	0.014577	
3698.212399	0.007676	
3698.214032	0.013380	
3698.215627	0.017997	
3698.217154	0.023556	
3698.218785	0.012651	
3698.220267	0.014806	
3698.221852	0.006923	
3698.223327	0.010955	
3698.224958	-0.004099	
3698.226442	-0.005396	
3698.228069	0.009211	
3698.229561	-0.000102	
3698.231123	0.001980	
3698.232672	0.012522	
3698.234198	0.007193	
3698.235839	-0.003772	
3698.237326	-0.002697	
3698.238956	-0.001246	
3698.240473	-0.011156	
3698.242109	-0.016333	
3698.243591	-0.005855	
3698.245253	0.001577	
3698.246728	-0.002399	
3698.248412	0.003088	
3698.249901	0.012410	
3698.251621	0.002846	
3698.253112	-0.004352	
3698.254820	-0.001154	
3698.256320	-0.007366	
3698.257989	-0.014371	
3698.259496	-0.005988	
3698.261155	0.003914	
3698.262684	0.002629	
3698.264302	0.002395	
3698.265861	0.010959	
3698.267452	0.011431	
3698.269052	0.000228	
3698.270710	-0.002697	
3698.272324	0.000107	
3698.273940	-0.006624	
3698.275572	-0.008421	
3698.277189	0.000852	
3698.278822	0.002202	
3698.280422	0.001287	
3698.282060	0.012679	
3698.283659	0.012953	
3698.285353	0.006492	
3698.286916	0.000103	
3698.288624	0.004006	
3698.290166	-0.007120	
3698.291863	-0.008594	
3698.293422	0.001698	
3698.295121	0.005223	
3698.296650	0.003994	
3698.298376	0.011455	
3698.299860	0.016454	
3698.301641	0.008659	
3698.303121	0.002983	
3698.304892	0.003128	
3698.306373	0.000699	
3698.308148	-0.003381	
3698.309627	-0.004276	
3698.311393	0.008426	
3698.312898	0.004635	
3698.314653	0.008796	
3698.316171	0.013634	
3698.317890	0.012043	
3698.319411	0.001485	
3698.321125	0.000361	
3698.322656	-0.000469	
3698.324350	-0.006423	
3698.325913	-0.008775	
3698.327588	0.003575	
3698.329159	0.000063	
3698.330824	-0.000155	
3698.332402	0.005851	
3698.334049	0.009658	
3698.335650	-0.006302	
3698.337273	-0.006822	
3698.338898	-0.006101	
3698.340511	-0.015966	
3698.342192	-0.019861	
3698.343797	-0.008518	
3698.345458	-0.005617	
3698.347049	-0.012107	
3698.348727	-0.002298	
3698.350289	-0.003398	
3698.351982	-0.011269	
3698.353543	-0.013730	
3698.355240	-0.019350	
3698.356792	-0.027455	
3698.358487	-0.034162	
3698.360022	-0.022629	
3698.361732	-0.017118	
3698.363228	-0.022991	
3698.365001	-0.011418	
3698.366480	-0.012554	
3698.368265	-0.019269	
3698.369749	-0.028208	
3698.371531	-0.023724	
3698.373012	-0.032075	
3698.374784	-0.040865	
