time (s)	det(V)
6811.909020	-0.116827	
6811.910688	-0.131458	
6811.912259	-0.150677	
6811.913942	-0.165666	
6811.915516	-0.167810	
6811.917216	-0.191351	
6811.918771	-0.202550	
6811.920465	-0.208540	
6811.922030	-0.223960	
6811.923744	-0.237395	
6811.925264	-0.239566	
6811.927001	-0.253979	
6811.928485	-0.278060	
6811.930246	-0.293650	
6811.931727	-0.307516	
6811.933507	-0.331069	
6811.934990	-0.351787	
6811.936783	-0.357600	
6811.938263	-0.373842	
6811.940038	-0.388614	
6811.941529	-0.398451	
6811.943277	-0.414379	
6811.944786	-0.439052	
6811.946520	-0.455266	
6811.948040	-0.473849	
6811.949772	-0.499425	
6811.951311	-0.526273	
6811.953038	-0.538552	
6811.954566	-0.552337	
6811.956282	-0.575673	
6811.957831	-0.587395	
6811.959504	-0.605990	
6811.961069	-0.637354	
6811.962719	-0.669174	
6811.964319	-0.689690	
6811.965976	-0.717816	
6811.967585	-0.751598	
6811.969228	-0.775901	
6811.970838	-0.794604	
6811.972478	-0.826170	
6811.974119	-0.855528	
6811.975714	-0.875589	
6811.977397	-0.916356	
6811.978980	-0.962355	
6811.980657	-0.996548	
6811.982248	-1.035006	
6811.983920	-1.082975	
6811.985492	-1.122268	
6811.987200	-1.153709	
6811.988747	-1.199970	
6811.990442	-1.244068	
6811.991981	-1.281314	
6811.993686	-1.336514	
6811.995180	-1.395754	
6811.996733	-1.447268	
6811.998238	-1.506001	
6811.999809	-1.565052	
6812.001369	-1.617755	
6812.002907	-1.638094	
6812.004517	-1.639645	
6812.005999	-1.639641	
6812.007656	-1.639738	
6812.009143	-1.639568	
6812.010805	-1.639601	
6812.012288	-1.639609	
6812.013926	-1.639645	
6812.015408	-1.639697	
6812.017037	-1.639721	
6812.018522	-1.639689	
6812.020147	-1.639572	
6812.021635	-1.639681	
6812.023238	-1.639665	
6812.024761	-1.639722	
6812.026432	-1.639665	
6812.027957	-1.639649	
6812.029595	-1.639677	
6812.031163	-1.639734	
6812.032783	-1.639584	
6812.034379	-1.639681	
6812.035947	-1.639609	
6812.037566	-1.639746	
6812.039095	-1.639641	
6812.040750	-1.639693	
6812.042224	-1.639605	
6812.043955	-1.639689	
6812.045425	-1.639677	
6812.047145	-1.639645	
6812.048697	-1.639653	
6812.050398	-1.639742	
6812.051944	-1.639645	
6812.053683	-1.639717	
6812.055180	-1.639689	
6812.056938	-1.639754	
6812.058409	-1.639697	
6812.060187	-1.639737	
6812.061664	-1.639734	
6812.063428	-1.639750	
6812.064906	-1.639725	
6812.066671	-1.639697	
6812.068167	-1.639782	
6812.069942	-1.639729	
6812.071443	-1.639738	
6812.073201	-1.639725	
6812.074715	-1.639754	
6812.076436	-1.639621	
6812.077962	-1.639814	
6812.079673	-1.639689	
6812.081220	-1.639862	
6812.082915	-1.639633	
6812.084474	-1.639891	
6812.086140	-1.639746	
6812.087706	-1.639822	
6812.089377	-1.639673	
6812.090959	-1.639886	
6812.092612	-1.639677	
6812.094230	-1.639810	
6812.095857	-1.639806	
6812.097482	-1.639774	
6812.099111	-1.639693	
6812.100741	-1.639911	
6812.102335	-1.639774	
6812.103996	-1.639947	
6812.105571	-1.639762	
6812.107266	-1.639834	
6812.108819	-1.639766	
6812.110506	-1.639931	
6812.112070	-1.639782	
6812.113745	-1.639810	
6812.115290	-1.639737	
6812.117011	-1.639754	
6812.118519	-1.639794	
6812.120292	-1.639826	
6812.121765	-1.639818	
6812.123541	-1.639798	
6812.125020	-1.639786	
6812.126798	-1.639810	
6812.128280	-1.639770	
6812.130052	-1.639754	
6812.131538	-1.639818	
6812.133307	-1.639806	
6812.134795	-1.639782	
6812.136537	-1.639705	
6812.138044	-1.639806	
6812.139757	-1.639665	
6812.141279	-1.639737	
6812.142990	-1.639677	
6812.144536	-1.639734	
6812.146222	-1.639677	
6812.147790	-1.639782	
6812.149465	-1.639661	
6812.151039	-1.639879	
6812.152704	-1.639693	
6812.154285	-1.639846	
6812.155943	-1.639669	
6812.157544	-1.639742	
6812.159163	-1.639637	
6812.160787	-1.639770	
6812.162408	-1.639609	
6812.164057	-1.639641	
6812.165646	-1.639572	
6812.167299	-1.639758	
6812.168883	-1.639653	
6812.170582	-1.639734	
6812.172145	-1.639548	
6812.173852	-1.639649	
6812.175324	-1.639746	
6812.176886	-1.639653	
6812.178384	-1.639701	
6812.180028	-1.639588	
6812.181524	-1.639738	
6812.183112	-1.639661	
6812.184677	-1.639697	
6812.186211	-1.639665	
6812.187813	-1.639673	
6812.189300	-1.639665	
6812.190935	-1.639613	
6812.192433	-1.639641	
6812.194090	-1.639633	
6812.195560	-1.639693	
6812.197200	-1.639363	
6812.198678	-1.519255	
6812.200320	-1.257394	
6812.201807	-1.052058	
6812.203528	-0.799732	
6812.205032	-0.571600	
6812.206739	-0.345773	
6812.208229	-0.126503	
6812.209926	0.123627	
6812.211422	0.322804	
6812.213095	0.549614	
6812.214612	0.756299	
6812.216248	0.970666	
6812.217820	1.176332	
6812.219413	1.386941	
6812.221012	1.578121	
6812.222566	1.618078	
6812.224176	1.618489	
6812.225788	1.618525	
6812.227412	1.618420	
6812.229022	1.618517	
6812.230661	1.618396	
6812.232270	1.618614	
6812.233933	1.618497	
6812.235507	1.618646	
6812.237202	1.618585	
6812.238749	1.618465	
6812.240443	1.618497	
6812.242005	1.618602	
6812.243711	1.618457	
6812.245222	1.618525	
6812.246956	1.618456	
6812.248440	1.618493	
6812.250215	1.618509	
6812.251698	1.618582	
6812.253473	1.618509	
6812.254949	1.618485	
6812.256740	1.618597	
6812.258226	1.618432	
6812.259989	1.618674	
6812.261485	1.618565	
6812.263240	1.618509	
6812.264740	1.618517	
6812.266477	1.618513	
6812.267992	1.618634	
6812.269707	1.618581	
6812.271236	1.618545	
6812.272941	1.618590	
6812.274484	1.618473	
6812.276188	1.618694	
6812.277758	1.618489	
6812.279434	1.618690	
6812.281007	1.618577	
6812.282664	1.618589	
6812.284235	1.618392	
6812.285891	1.618658	
6812.287497	1.618469	
6812.289111	1.618594	
6812.290755	1.618493	
6812.292341	1.618590	
6812.294014	1.618537	
6812.295607	1.618626	
6812.297251	1.618461	
6812.298830	1.618674	
6812.300538	1.618545	
6812.302085	1.618618	
6812.303811	1.618593	
6812.305356	1.618650	
6812.307065	1.618424	
6812.308603	1.618646	
6812.310323	1.618642	
6812.311834	1.618610	
