crossing time (s)	slope (V/s)	crossing number
3196.676403	-121.393975	1205
3197.670907	-112.669719	1206
3198.687445	-127.057734	1207
3199.760140	-123.947803	1208
3200.774326	-120.393958	1209
3201.835107	-110.491383	1210
3202.830911	-100.673958	1211
3203.873711	-110.186747	1212
3204.910384	-103.738460	1213
3205.920297	-98.440029	1214
3206.962811	-95.088986	1215
3207.989966	-89.816453	1216
3209.015860	-92.391758	1217
3210.036781	-89.387012	1218
3211.107681	-83.353431	1219
3212.105389	-80.219569	1220
3213.166429	-76.409788	1221
3214.160673	-76.872494	1222
3215.217709	-75.105397	1223
3216.243376	-66.058611	1224
3217.270625	-66.088828	1225
3218.305068	-65.095399	1226
3219.328347	-64.192272	1227
3220.381842	-61.673426	1228
3221.395995	-56.770264	1229
3222.443207	-57.138447	1230
3223.473740	-54.838932	1231
3224.509761	-52.342722	1232
3225.518576	-51.000570	1233
3226.561307	-49.567774	1234
3227.592956	-45.968585	1235
3228.641800	-43.919229	1236
3229.652854	-44.712913	1237
