crossing time (s)	slope (V/s)	crossing number
7234.402874	144.364540	4099
7235.458715	138.715822	4100
7236.454589	142.574877	4101
7237.502790	132.668411	4102
7238.501551	137.899791	4103
7239.565032	136.813237	4104
7240.596752	133.561402	4105
7241.639953	121.763911	4106
7242.677400	127.229033	4107
7243.688366	135.580641	4108
7244.707106	129.197995	4109
7245.739272	121.514137	4110
7246.774733	120.690908	4111
7247.835844	122.333874	4112
7248.849827	127.182396	4113
7249.886351	119.612124	4114
7250.898909	121.003629	4115
7251.971605	112.190338	4116
7252.993691	112.893805	4117
7254.015429	119.878195	4118
7255.032314	116.011121	4119
7256.070901	110.370573	4120
7257.091043	106.108536	4121
7258.158275	107.150642	4122
7259.162219	108.774155	4123
7260.205529	105.349983	4124
7261.205909	103.206787	4125
7262.262198	97.150852	4126
7263.281223	97.031641	4127
7264.329573	100.438698	4128
7265.345008	95.420815	4129
7266.371089	91.969084	4130
7267.412243	89.514336	4131
7268.450599	89.984653	4132
7269.467536	90.517835	4133
7270.514563	85.616109	4134
7271.535896	83.362579	4135
7272.589662	85.095104	4136
7273.585187	83.287590	4137
7274.647548	79.094224	4138
7275.654713	78.788449	4139
7276.696949	80.081892	4140
7277.722064	77.439453	4141
7278.779696	73.321922	4142
7279.773892	72.401150	4143
7280.825003	73.581962	4144
7281.835946	70.078146	4145
7282.883902	68.470977	4146
7283.897523	67.888060	4147
7284.951396	66.922762	4148
7285.980441	65.366468	4149
7286.989489	63.879333	4150
7288.020878	63.098139	4151
7289.064357	62.088106	4152
7290.083000	60.563188	4153
7291.140960	57.837391	4154
7292.132851	58.166419	4155
7293.208167	57.328554	4156
7294.207401	55.722327	4157
7295.251059	55.298622	4158
7296.277595	53.238247	4159
7297.322943	53.246827	4160
7298.346025	51.211752	4161
7299.363932	50.549321	4162
7300.393643	50.390159	4163
7301.438694	47.836387	4164
7302.465794	47.901657	4165
7303.503272	46.567112	4166
7304.505216	46.347498	4167
7305.579145	44.093933	4168
7306.566500	44.590105	4169
