time (s)	magX	magY	magZ
3355.849452	-234.779083	120.492104	150.601395
3355.852794	-238.227356	122.187027	155.861481
3355.856123	-241.383423	124.817070	161.472229
3355.859452	-244.831696	127.505547	166.966110
3355.862789	-248.747528	128.557571	172.752182
3355.866120	-252.254242	130.427826	179.473404
3355.869456	-255.585632	132.181183	185.434830
3355.872791	-259.267700	134.226776	192.331390
3355.876161	-261.839264	136.213898	198.468140
3355.879456	-265.988892	137.616592	205.773819
3355.882795	-269.320282	139.779068	212.845688
3355.886117	-273.119232	141.883102	220.268265
3355.889455	-275.983063	144.279373	228.392151
3355.892785	-279.372894	146.149612	235.873169
3355.896121	-282.528931	148.312103	244.523087
3355.899448	-285.334320	150.708359	253.173004
3355.902782	-288.607239	152.637054	261.530670
3355.906121	-291.821747	154.799530	271.817078
3355.909497	-294.217987	157.195786	280.408539
3355.912780	-297.432495	159.066040	291.045593
3355.916112	-300.471680	161.929871	300.747528
3355.919484	-303.160156	163.917007	312.085937
3355.922785	-305.147308	165.845703	323.716522
3355.926134	-307.660431	168.125076	335.347168
3355.929455	-309.881348	170.579773	348.497375
3355.932778	-312.452972	172.508469	360.537109
3355.936112	-313.855652	174.670959	373.570435
3355.939449	-315.901245	175.664520	387.012848
3355.942782	-317.479248	177.885437	400.981293
3355.946111	-318.765045	179.054352	415.183533
3355.949444	-318.940399	181.158386	429.268829
3355.952783	-318.297485	182.444183	443.938629
3355.956117	-319.407959	183.379303	459.660431
3355.959443	-318.881958	183.963760	474.564026
3355.962797	-318.472809	185.074234	492.214478
3355.967463	-315.784332	185.717117	522.956787
3355.970401	-314.323212	185.483337	539.087708
3355.973634	-312.569855	185.015778	555.861511
3355.976948	-310.290497	184.723557	571.817078
3355.980296	-306.959076	183.437759	588.766235
3355.983654	-302.926361	181.801285	605.890747
3355.987010	-299.068970	180.573929	622.430786
3355.990370	-295.094696	178.586792	639.379944
3355.993712	-290.302155	176.833435	654.984802
3355.996596	-284.457642	174.028061	671.934021
3355.999897	-279.197571	171.865570	687.714233
3356.003204	-272.300995	168.943298	703.319153
3356.006534	-265.462891	165.904144	720.209839
3356.009859	-257.981873	162.631210	734.119873
3356.013198	-249.273529	159.241379	750.192322
3356.016532	-241.032715	155.267090	765.446533
3356.019865	-231.856812	151.351257	779.181213
3356.022771	-221.570435	146.324951	795.429016
3356.026108	-212.219177	142.292236	808.228577
3356.029439	-201.173004	136.681473	823.482788
3356.032776	-189.542358	131.362946	837.275879
3356.036107	-178.087067	125.985977	849.607849
3356.039440	-164.352417	119.907661	861.296936
3356.042770	-150.793091	113.770897	873.862732
3356.046117	-137.058441	108.627708	885.610168
3356.049464	-122.622444	101.497368	895.195251
3356.052772	-107.894218	95.185265	906.299866
3356.056102	-91.412628	88.522499	914.832825
3356.059433	-75.983047	81.684395	922.547668
3356.062769	-59.676796	74.086502	928.275269
3356.066103	-43.545876	67.365280	934.704285
3356.069432	-25.836937	59.124489	939.087769
3356.072770	-9.238455	51.234367	943.237244
3356.076099	7.067798	43.227348	946.393372
3356.079431	25.361193	35.395676	948.906494
3356.082766	42.602573	27.914669	949.081848
3356.086098	59.960842	19.440094	948.848022
3356.089438	76.442429	11.549971	947.971436
3356.092791	93.099358	2.549387	944.990723
3356.096093	109.288719	-4.697837	942.711304
3356.099430	124.952080	-13.230860	937.159058
3356.102766	141.550552	-21.179428	931.957397
3356.106093	156.921692	-29.069551	925.236206
3356.109426	170.948578	-36.258331	917.521362
3356.112766	185.150787	-43.563995	908.696167
3356.116093	198.826996	-50.694336	900.455322
3356.119430	211.977203	-58.058449	890.110474
3356.122763	224.075378	-64.838104	880.583923
3356.126099	236.407379	-71.150208	868.602600
3356.129431	247.453552	-77.637642	856.387512
3356.132764	258.324371	-82.780830	843.588013
3356.136128	267.149628	-88.625366	830.963745
3356.139430	276.793091	-94.353012	816.995422
3356.142764	284.975464	-99.262421	803.494507
3356.146094	293.391571	-103.353592	788.707825
3356.149428	300.580353	-107.853882	773.804260
3356.152757	307.710693	-112.354179	759.543579
3356.156096	314.548798	-116.328461	743.588013
3356.159428	320.334869	-120.185860	728.859802
3356.164121	331.030396	-125.913513	696.013489
3356.167027	335.472229	-128.718887	681.518982
3356.170381	339.504944	-130.998245	664.511414
3356.173649	342.602570	-133.452957	647.912964
3356.176939	345.349487	-135.030975	631.665161
3356.180306	348.505524	-136.608994	615.417297
3356.183629	350.434235	-137.894806	599.052612
3356.186962	352.304504	-139.472824	582.337280
3356.190359	353.648712	-140.700180	566.323242
3356.193199	354.934540	-141.576859	550.250732
3356.196564	354.817657	-142.044418	533.886047
3356.199906	355.051422	-142.453537	517.112244
3356.203203	354.759216	-142.862656	502.851562
3356.206514	354.525421	-142.921097	487.421967
3356.209845	353.122742	-143.213333	471.524841
3356.213174	351.720032	-143.330231	456.036835
3356.216513	350.258911	-143.388657	441.717712
3356.219417	348.037964	-142.979538	427.398560
3356.222778	345.875488	-142.336655	413.430145
3356.226087	342.719452	-142.044418	399.870850
3356.229417	340.440094	-142.044418	385.843964
3356.232753	337.634705	-141.226196	373.921082
3356.236083	334.887787	-140.115723	361.647583
3356.239416	332.082397	-139.940384	348.614258
3356.242756	327.932770	-139.355927	337.977203
3356.246085	324.601410	-138.420807	327.515503
3356.249456	320.627106	-137.368790	315.709534
3356.252752	316.535950	-136.667450	305.364685
3356.256082	313.438324	-135.849213	296.188782
3356.259409	308.762695	-135.673874	287.071320
3356.262753	305.255981	-133.862076	276.726471
3356.266100	301.866150	-132.751617	268.135010
3356.269409	297.891876	-131.232025	259.485077
3356.272748	293.333130	-130.296906	252.939209
3356.276084	290.060211	-128.777313	244.055527
3356.279410	286.202820	-128.485107	237.509644
3356.282742	282.053162	-126.965515	229.268845
3356.286080	279.247803	-125.387497	222.196976
3356.289414	275.390411	-124.335480	215.417297
3356.292743	271.240814	-122.932785	208.345398
3356.296092	266.798950	-121.705429	203.143768
3356.299409	263.876678	-120.302742	196.481003
3356.302745	260.253082	-118.783173	190.285797
3356.306081	256.746338	-117.497368	185.142609
3356.309404	253.239624	-116.211578	178.246063
3356.312747	250.142029	-114.224426	173.687317
3356.316113	246.284637	-112.704857	167.901230
3356.319413	242.661011	-111.068390	162.407364
3356.322745	239.680328	-110.133263	157.205719
3356.326080	235.822906	-108.905907	152.997665
3356.329402	232.316193	-107.210991	147.737579
3356.332744	229.277039	-105.340736	142.243713
3356.336079	225.828766	-104.639397	137.684982
3356.339447	222.906494	-102.593811	133.886032
3356.342743	220.334900	-101.249557	129.561081
3356.346073	216.243713	-100.606659	124.534775
3356.349414	213.204559	-99.203972	121.203384
3356.352758	209.814728	-97.801285	117.404434
3356.357423	204.203979	-95.288139	110.040329
3356.360341	201.223267	-93.943893	106.182930
3356.363669	197.599640	-92.716537	103.085327
3356.367006	194.911163	-92.073647	100.221504
3356.370252	192.339569	-91.138519	97.649910
3356.373586	190.235535	-89.969612	94.084747
3356.376928	187.196381	-88.625366	91.980713
3356.380278	184.566345	-87.865578	89.058449
3356.383221	182.696075	-87.047348	86.428406
3356.386520	180.124481	-86.053772	83.798363
3356.389848	177.669800	-85.586212	82.044998
3356.393195	175.682648	-84.534195	80.233200
3356.396550	173.169495	-83.832848	77.369370
3356.399832	171.649902	-83.131508	76.901810
3356.403158	169.428986	-81.962601	74.973114
3356.406497	167.617187	-81.495033	72.752190
3356.409826	165.630035	-80.559914	72.343071
3356.412736	164.344238	-79.800117	69.011688
3356.416063	161.831085	-79.215668	68.777908
3356.419396	160.311523	-78.689659	67.375214
3356.422724	158.441284	-78.163651	66.323204
3356.426062	157.097015	-77.286972	64.920517
3356.429402	155.577454	-76.819412	62.933372
3356.432728	154.291656	-75.942726	62.232029
3356.436059	153.005859	-75.767387	60.712448
3356.439391	151.720032	-74.949150	59.192871
3356.442731	150.025116	-74.364700	58.082405
3356.446068	148.447113	-73.546463	56.036816
3356.449406	147.336639	-73.254242	55.627701
3356.452728	145.875519	-73.020462	54.517239
3356.456064	144.063721	-71.851555	53.757450
3356.459398	143.070129	-71.500877	52.237873
3356.462728	141.550552	-70.799538	52.004089
3356.466057	140.849213	-70.448868	49.900055
3356.469431	139.154297	-69.513741	48.906487
3356.472731	137.517822	-69.279961	47.503799
3356.476061	137.284042	-68.520164	46.860901
3356.479392	136.407364	-67.818825	46.042664
3356.482748	134.829346	-67.468147	45.925774
3356.486057	133.192871	-67.117477	44.815311
3356.489390	132.433075	-66.533020	43.003506
3356.492731	131.614853	-65.656342	42.945057
3356.496058	130.387497	-65.656342	42.185268
3356.499393	130.036819	-65.305672	41.074806
3356.502728	128.984802	-65.247223	40.665691
3356.506058	128.341904	-64.662773	40.139683
3356.509393	127.523674	-64.428993	39.672119
3356.512743	126.705429	-64.019875	39.438339
3356.516116	126.296318	-63.844536	39.087666
3356.519395	125.887199	-63.201637	38.152542
3356.522722	125.068962	-63.201637	38.210987
3356.526066	124.601402	-63.610756	37.451199
3356.529385	123.666275	-63.376976	37.977203
3356.532720	123.374054	-63.201637	37.392754
3356.536052	122.964928	-62.675629	37.334305
3356.539384	122.088257	-63.026306	37.451199
3356.542716	122.088257	-62.558739	36.983635
3356.546053	121.211571	-62.909416	35.931618
3356.550754	120.744011	-62.558739	36.340736
3356.554080	120.977791	-62.500290	35.756283
3356.556986	120.568672	-62.850967	35.756283
3356.560367	120.744011	-62.734077	35.814728
3356.563631	120.568672	-62.617180	35.931618
3356.566907	120.627113	-62.558739	36.574516
3356.570269	120.919350	-62.617180	35.405609
3356.573567	119.808884	-62.617180	35.814728
3356.576922	120.334892	-62.500290	35.639393
3356.579814	119.691994	-62.441849	36.106956
3356.583154	119.925774	-62.091179	36.574516
3356.586516	119.750443	-62.149620	36.340736
3356.589827	120.042664	-62.617180	36.282291
3356.593168	120.159554	-62.675629	35.931618
3356.596472	120.159554	-62.266510	36.223846
3356.599811	120.744011	-62.032730	36.223846
3356.603130	120.101112	-62.383400	36.106956
3356.606045	120.568672	-62.383400	36.925190
3356.609381	120.276443	-62.617180	36.048508
3356.612738	120.510223	-62.441849	35.580948
3356.616044	120.744011	-62.675629	36.106956
3356.619383	120.510223	-62.558739	36.106956
3356.622709	120.802460	-62.792526	37.217415
3356.626042	120.860901	-62.909416	36.632961
3356.629376	121.270020	-63.435417	35.873173
3356.632713	121.737587	-63.376976	36.457626
3356.636044	121.796021	-63.143196	37.275860
3356.639390	121.971367	-63.844536	37.275860
3356.642739	122.555817	-63.844536	37.626534
3356.646043	122.964928	-64.253654	37.801868
3356.649372	123.607841	-64.545883	38.327877
3356.652712	124.309181	-64.838104	38.970776
3356.656068	124.133835	-65.188782	39.496784
3356.659376	124.835182	-66.065460	40.315018
3356.662712	125.302742	-66.123901	39.847458
3356.666042	126.179436	-66.883698	40.899471
3356.669376	126.763878	-66.883698	41.425480
3356.672707	127.523674	-67.818825	42.652832
3356.676042	128.517242	-67.877266	42.769722
3356.679378	129.335480	-68.578613	43.646404
3356.682702	130.504379	-69.046173	44.113968
3356.686039	131.556396	-69.922852	44.932201
3356.689371	132.257751	-70.507309	46.159554
3356.692707	132.783752	-70.974869	46.393337
3356.696039	134.478668	-72.377556	47.679134
3356.699392	135.764465	-71.968445	48.731152
3356.702700	136.348907	-72.728226	49.315601
3356.706062	137.108704	-72.903564	50.893627
3356.709381	138.686737	-74.306259	51.770306
3356.712703	139.388062	-74.130920	52.179424
3356.716035	140.673874	-75.124489	52.471653
3356.719375	142.193451	-75.767387	54.341904
3356.722700	143.362366	-76.527176	55.335472
3356.726037	145.232620	-77.403862	56.621269
3356.729367	145.875519	-77.579193	57.147282
3356.732706	147.336639	-79.040329	58.082405
3356.736031	148.563995	-79.391006	58.959091
